Name,mlbam_id,Team,GS,division
"Sugano, Tomoyuki",608372,BAL,16,al_east
"Povich, Cade",700249,BAL,14,al_east
"Kremer, Dean",665152,BAL,12,al_east
"Morton, Charlie",450203,BAL,9,al_east
"Eflin, Zach",621107,BAL,7,al_east
"Rogers, Trevor",669432,BAL,7,al_east
"Young, Brandon",687064,BAL,7,al_east
"Bello, Brayan",678394,BOS,17,al_east
"Crochet, Garrett",676979,BOS,15,al_east
"Giolito, Lucas",608337,BOS,12,al_east
"Buehler, Walker",621111,BOS,11,al_east
"Dobbins, Hunter",690928,BOS,7,al_east
"Fitts, Richard",690916,BOS,5,al_east
"Houck, Tanner",656557,BOS,4,al_east
"Fried, Max",608331,NYY,18,al_east
"Rodón, Carlos",607074,NYY,17,al_east
"Warren, Will",701542,NYY,16,al_east
"Schlittler, Cam",693645,NYY,12,al_east
"Schmidt, Clarke",657376,NYY,8,al_east
"Stroman, Marcus",573186,NYY,6,al_east
"Gil, Luis",661563,NYY,6,al_east
"Carrasco, Carlos",471911,NYY,4,al_east
"Yarbrough, Ryan",642232,NYY,4,al_east
"Rasmussen, Drew",656876,TB,20,al_east
"Baz, Shane",669358,TB,16,al_east
"Pepiot, Ryan",686752,TB,16,al_east
"Littell, Zack",641793,TB,11,al_east
"Bradley, Taj",671737,TB,11,al_east
"Boyle, Joe",671212,TB,6,al_east
"Gausman, Kevin",592332,TOR,21,al_east
"Bassitt, Chris",605135,TOR,17,al_east
"Berríos, José",621244,TOR,16,al_east
"Scherzer, Max",453286,TOR,11,al_east
"Francis, Bowden",670102,TOR,8,al_east
"Lauer, Eric",641778,TOR,6,al_east
"Bieber, Shane",669456,TOR,5,al_east
"Yesavage, Trey",702056,TOR,5,al_east
