Name,mlbam_id,Team,GS,division
"Valdez, Framber",664285,HOU,16,al_west
"Brown, Hunter",686613,HOU,15,al_west
"Gusto, Ryan",687473,HOU,10,al_west
"McCullers Jr., Lance",621121,HOU,7,al_west
"Alexander, Jason",669920,HOU,7,al_west
"Gordon, Colton",676467,HOU,7,al_west
"Blanco, Ronel",669854,HOU,6,al_west
"Javier, Cristian",664299,HOU,5,al_west
"Hendricks, Kyle",543294,LAA,18,al_west
"Kikuchi, Yusei",579328,LAA,16,al_west
"Soriano, José",667755,LAA,15,al_west
"Anderson, Tyler",542881,LAA,14,al_west
"Kochanowicz, Jack",686799,LAA,13,al_west
"Castillo, Luis",622491,SEA,20,al_west
"Kirby, George",669923,SEA,15,al_west
"Woo, Bryan",693433,SEA,15,al_west
"Gilbert, Logan",669302,SEA,14,al_west
"Miller, Bryce",682243,SEA,11,al_west
"Hancock, Emerson",676106,SEA,9,al_west
"Evans, Logan",688138,SEA,7,al_west
"deGrom, Jacob",594798,TEX,16,al_west
"Leiter, Jack",683004,TEX,16,al_west
"Corbin, Patrick",571578,TEX,14,al_west
"Mahle, Tyler",641816,TEX,12,al_west
"Eovaldi, Nathan",543135,TEX,11,al_west
"Rocker, Kumar",677958,TEX,7,al_west
"Kelly, Merrill",518876,TEX,6,al_west
