Name,mlbam_id,Team,GS,division
"Williams, Gavin",668909,CLE,18,al_central
"Bibee, Tanner",676440,CLE,17,al_central
"Allen, Logan",671106,CLE,16,al_central
"Cecconi, Slade",677944,CLE,13,al_central
"Ortiz, Luis",682847,CLE,7,al_central
"Lively, Ben",594902,CLE,5,al_central
"Cantillo, Joey",676282,CLE,5,al_central
"Burke, Sean",680732,CWS,14,al_central
"Smith, Shane",681343,CWS,14,al_central
"Martin, Davis",663436,CWS,13,al_central
"Cannon, Jonathan",686563,CWS,8,al_central
"Pérez, Martín",527048,CWS,7,al_central
"Civale, Aaron",650644,CWS,7,al_central
"Houser, Adrian",605288,CWS,5,al_central
"Gómez, Yoendrys",672782,CWS,5,al_central
"Flaherty, Jack",656427,DET,20,al_central
"Skubal, Tarik",669373,DET,16,al_central
"Mize, Casey",663554,DET,15,al_central
"Montero, Keider",672456,DET,7,al_central
"Olson, Reese",681857,DET,7,al_central
"Morton, Charlie",450203,DET,5,al_central
"Jobe, Jackson",695549,DET,5,al_central
"Holton, Tyler",663947,DET,4,al_central
"Paddack, Chris",663978,"DET,MIN",14,al_central
"Wacha, Michael",608379,KC,18,al_central
"Lugo, Seth",607625,KC,15,al_central
"Lorenzen, Michael",547179,KC,12,al_central
"Cameron, Noah",702070,KC,12,al_central
"Bubic, Kris",663460,KC,11,al_central
"Ragans, Cole",666142,KC,7,al_central
"Ober, Bailey",641927,MIN,17,al_central
"Ryan, Joe",657746,MIN,15,al_central
"Woods Richardson, Simeon",680573,MIN,12,al_central
"López, Pablo",641154,MIN,7,al_central
"Matthews, Zebby",805673,MIN,7,al_central
"Festa, David",701581,MIN,5,al_central
