Name,mlbam_id,Team,GS
"Elder, Bryce",693821,ATL,15
"Strider, Spencer",675911,ATL,13
"Holmes, Grant",656550,ATL,12
"Schwellenbach, Spencer",680885,ATL,10
"Sale, Chris",519242,ATL,9
"Wentz, Joey",666214,ATL,7
"Waldrep, Hurston",694462,ATL,5
"Smith-Shawver, AJ",700363,ATL,4
"Quantrill, Cal",615698,"ATL,MIA",12
"Alcantara, Sandy",645261,MIA,18
"Cabrera, Edward",665795,MIA,14
"Junk, Janson",676083,MIA,9
"Meyer, Max",676974,MIA,8
"Pérez, Eury",691587,MIA,8
"Bellozo, Valente",678368,MIA,5
"Weathers, Ryan",677960,MIA,4
"Holmes, Clay",605280,NYM,16
"Peterson, David",656849,NYM,15
"Senga, Kodai",673540,NYM,12
"Canning, Griffin",656288,NYM,11
"Megill, Tylor",656731,NYM,8
"Manaea, Sean",640455,NYM,6
"Montas, Frankie",593423,NYM,4
"McLean, Nolan",690997,NYM,4
"Luzardo, Jesús",666200,PHI,17
"Sánchez, Cristopher",650911,PHI,16
"Wheeler, Zack",554430,PHI,14
"Suarez, Ranger",624133,PHI,14
"Walker, Taijuan",592836,PHI,11
"Nola, Aaron",605400,PHI,11
"Abel, Mick",690953,PHI,4
"Parker, Mitchell",680730,WSH,18
"Irvin, Jake",663623,WSH,15
"Gore, MacKenzie",669022,WSH,14
"Williams, Trevor",592866,WSH,11
"Lord, Brad",695418,WSH,11
"Soroka, Michael",647336,WSH,9
"Cavalli, Cade",676917,WSH,5
