Name,mlbam_id,Team,GS,division
"Freeland, Kyle",607536,COL,17,nl_west
"Senzatela, Antonio",622608,COL,13,nl_west
"Dollander, Chase",801403,COL,12,nl_west
"Márquez, Germán",608566,COL,11,nl_west
"Gordon, Tanner",685299,COL,9,nl_west
"Gomber, Austin",596295,COL,6,nl_west
"Blalock, Bradley",687134,COL,6,nl_west
"Feltner, Ryan",663372,COL,4,nl_west
"Glasnow, Tyler",607192,LAD,14,nl_west
"Yamamoto, Yoshinobu",808967,LAD,14,nl_west
"Kershaw, Clayton",477132,LAD,10,nl_west
"Snell, Blake",605483,LAD,9,nl_west
"Ohtani, Shohei",660271,LAD,9,nl_west
"May, Dustin",669160,LAD,9,nl_west
"Sheehan, Emmet",686218,LAD,7,nl_west
"Gonsolin, Tony",664062,LAD,4,nl_west
"Knack, Landon",689017,LAD,4,nl_west
"Pivetta, Nick",601713,SD,18,nl_west
"Cease, Dylan",656302,SD,17,nl_west
"Vásquez, Randy",681190,SD,13,nl_west
"King, Michael",650633,SD,10,nl_west
"Darvish, Yu",506433,SD,8,nl_west
"Kolek, Stephen",663568,SD,5,nl_west
"Hart, Kyle",606996,SD,4,nl_west
"Webb, Logan",657277,SF,21,nl_west
"Verlander, Justin",434378,SF,18,nl_west
"Ray, Robbie",592662,SF,18,nl_west
"Roupp, Landen",694738,SF,9,nl_west
"Hicks, Jordan",663855,SF,6,nl_west
"Birdsong, Hayden",806185,SF,5,nl_west
